id,clio_id_display,author_display,author_vern_display,author_facet,format,isbn_display,language_facet,database_restrictions_display,material_type_display,lc_callnum_display,full_publisher_display,location_call_number_id_display,published_display,published_vern_display,title_display,title_vern_display,subject_topic_facet,subject_geo_facet,subject_era_facet,subtitle_display,subtitle_vern_display,url_fulltext_display,url_munged_display,url_suppl_display
837500,837500,,,,Books,044651389X,English,,"ix\, 2294 p.",,"New York\, NY : Warner Books\, c1989.","SML\, Stacks\, LC Classification >>  GV863 A1 T68 1989 (LC)+ Oversize|DELIM|957470",,,Total baseball,,"Baseball,History",United States,,,,,,
3183464,3183464,,,,Books,446516201,English,,"x\, 2629",,"New York\, NY : Warner Books\, 1991.","SML\, Stacks\, LC Classification >>  GV863 A1 T68 1991 (LC)+ Oversize|DELIM|3494424",,,Total baseball,,"Baseball,History",United States,,,,,,
9798246,9798246,"Duffus\, Jim",,,Books,,English,,73 p.,,"[S.l. : s.n.]\, 2008.",LSF - Request for delivery to any Yale Library >>  GV863.A1 D85 2008 (LC)|DELIM|10106077,,,Thanks baseball,,"Duffus\, Jim,Baseball,History",United States,,,,,,
3693802,3693802,,,,Journals & Newspapers,,English,,v.,,"St. Louis\, MO : Sporting News\, c1990-",LSF - Request for delivery to any Yale Library >>  GV877 S66 (LC)|DELIM|4042223,,,Baseball guide,,Baseball,United States,,,,,,
6240843,6240843,"Wirkmaa\, Andres",,,Books,786414480,English,,"viii\, 270 p.",,"Jefferson\, N.C. ; London : McFarland & Co.\, c2003.",LSF - Request for delivery to any Yale Library >>  GV879 .W57X 2003 (LC)|DELIM|6909180,,,Baseball scorekeeping,,"Baseball,Scorekeeping",,,a practical guide to the rules,,,,
3572867,3572867,"Aldridge\, Gwen",,,Books,"8,118,036,510,811,800,000",English,,111 p.,,"San Francisco : Chronicle Books\, 1993.","SML\, Stacks\, LC Classification >>  GV875.2 A33X 1993 (LC)+ Oversize|DELIM|3912521",,,Baseball archaeology,,"Baseball,Collectibles",United States,,artifacts from the great American pastime,,,,
4586424,4586424,"Neyer\, Rob",,,Books,"3,930,489,420,393,320,000",English,,384 p.,,"New York ; London : Norton\, c2000.","SML\, Stacks\, LC Classification >>  GV875 A1 N49X 2000 (LC)|DELIM|4976621",,,Baseball dynasties,,"Major League Baseball (Organization),Baseball teams",United States,,the greatest teams of all time,,,,
9068418,9068418,,,,Books,"9,780,061,625,459,000,000,000,000,000,000,000,000,000,000,000",English,,"xiv\, 240 p.",,"[New York] : Smithsonian Books : Harper\, c2009.","SML\, Stacks\, LC Classification >>  GV863.A1 B3758X 2009 (LC) Oversize|DELIM|9451884",,,Baseball Americana,,"Baseball,History,Collectibles",United States,,treasures from the Library of Congress,,,,
7850257,7850257,"Farrell\, James T. (James Thomas)\, 1904-1979",,,Books,"97,808,733,889,790,800,000,000",English,,"vii\, 316 p.",,"Kent\, Ohio : Kent State University Press\, c2007.","Bass Library\, Stacks >>  PS3511.A738 D74X 2007|DELIM|8303895",,,Dreaming baseball,,"Chicago White Sox (Baseball team),Baseball,Corrupt practices",United States,,,,,Table of contents only~|Z|~http://www.loc.gov/catdir/toc/ecip074/2006037402.html,
6711686,6711686,American Sport Education Program,,,Books,736047700,English,,"vi\, 161 p.",,"Champaign\, IL : Human Kinetics\, c2004.","Bass Library\, Stacks >>  GV876 .A64X 2004 (LC)|DELIM|7311581",,,Officiating baseball,,"Baseball,Sports officiating,Umpiring",,,,,,Table of contents~|Z|~http://www.loc.gov/catdir/toc/ecip0412/2003027578.html,
12824992,12824992,,,,Books,,English,,pages 247-286,,"New Haven\, Conn. : Yale Graphic\, [1919]",LSF- BEINECKE >>  2016 +223|DELIM|12925267,,,Baseball number,,"Yale University,Baseball",,,,,,,
4469434,4469434,"Johnson\, Daniel E. (Daniel Einar)",,,Books,078640678X,English,,"x\, 355 p.",,"Jefferson\, N.C. : McFarland\, c1999.","SML\, Stacks\, LC Classification >>  GV863.77 A1 J65X 1999 (LC)|DELIM|4855561",,,Japanese baseball,,"Baseball,Baseball players,Records",Japan,,a statistical handbook,,,,
7668866,7668866,"Theodore\, John\, 1946-",,,Books,"97,808,032,595,840,800,000,000",English,,"xxii\, 136 p.",,"Lincoln : University of Nebraska Press\, c2006.",LSF - Request for delivery to any Yale Library >>  GV865.W334 T54X 2006 (LC)|DELIM|8150206,,,Baseball's natural,,"Waitkus\, Eddie\, 1919-1972,Baseball players",United States,,the story of Eddie Waitkus,,,"Table of contents only~|Z|~http://www.loc.gov/catdir/toc/ecip0615/2006020057.html,Contributor biographical information~|Z|~http://www.loc.gov/catdir/enhancements/fy0702/2006020057-b.html,Publisher description~|Z|~http://www.loc.gov/catdir/enhancements/fy0702/2006020057-d.html",
6216558,6216558,"Bevis\, Charlie\, 1954-",,,Books,786415649,English,,"vii\, 318 p.",,"Jefferson\, N.C. : McFarland & Co.\, c2003.","SML\, Stacks\, LC Classification >>  GV867.6 .B48X 2003 (LC)|DELIM|6889118",,,Sunday baseball,,"Baseball,Sports,Civil religion,Social aspects,Religious aspects",United States,,"the major leagues' struggle to play baseball on the lord's day\, 1876-1934",,,,
10220414,10220414,,,,Audio,,English,,1 sound disc (53 min.),,"Revere\, Mass. : Fleetwood Records\, c1969.",LSF--Contact musiclibrary@yale.edu for use in Music Library >>  Fleetwood Records FCLP 3036|DELIM|10488671,,,Professional baseball,,"Major League Baseball (Organization),History,Baseball",United States,,the first 100 years,,,,
11955776,11955776,"Klein\, Alan M.\, 1946-",,,Books,"9781439910870,1439910871,9781439910887,143991088X",English,,"x\, 186 pages",,"Philadelphia\, Pennsylvania : Temple University Press\, [2014]","SML\, Stacks\, LC Classification >>  GV863.29.D65 K54X 2014 (LC)|DELIM|12148181",,,Dominican baseball,,"Baseball,Baseball players",Dominican Republic,,"new pride\, old prejudice",,,,
6707287,6707287,"Remy\, Jerry\, 1952-",,,Books,762730757,English,,"xv\, 367 p.",,"Guilford\, Conn. : Globe Pequot Press\, c2004.","SML\, Stacks\, LC Classification >>  GV867 .R46X 2004 (LC)|DELIM|7307433",,,Watching baseball,,Baseball,,,discovering the game within the game,,,Sample text~|Z|~http://www.loc.gov/catdir/samples/globe041/2004040533.html,
6919918,6919918,"Zachofsky\, Dan\, 1951-",,,Books,786421819,English,,"x\, 262 p.",,"Jefferson\, N.C. : McFarland & Co.\, c2005.",LSF - Request for delivery to any Yale Library >>  GV878.4 .Z33X 2005 (LC)|DELIM|7495946,,,October baseball,,"World Series (Baseball),Baseball,Baseball players,Baseball managers,History",United States,,ballplayers discuss postseason play,,,,
10964131,10964131,"Bartkowiak\, Mathew J.",,,Books,"97,807,864,613,250,700,000,000",English,,"x\, 206 p.",,"Jefferson\, N.C. : McFarland & Co.\, c2012.","SML\, Stacks\, LC Classification >>  GV880 .B35X 2012 (LC)|DELIM|11141920",,,Packaging baseball,,"Major League Baseball (Organization),Baseball,Economic aspects,Management,Social aspects",,,how marketing embellishes the cultural experience,,,,
8555673,8555673,"Harrison\, Don",,,Books,"9781596295520,159629552X",English,,160 p.,,"Charleston\, SC : History Press\, 2008.",LSF - Request for delivery to any Yale Library >>  GV863.C8 H37X 2008 (LC)|DELIM|8984970,,,Connecticut baseball,,"Baseball,History",Connecticut,,the best of the Nutmeg State,,,,
6186461,6186461,"Figueredo\, Jorge S.\, 1939-",,,Books,078641250X,English,,"vii\, 544 p.",,"Jefferson\, N.C. : McFarland & Co.\, Publishers\, c2003.","SML\, Stacks\, LC Classification >>  GV875.A1 F43X 2003 (LC)|DELIM|6863301",,,Cuban baseball,,"Baseball teams,Baseball players",Cuba,,"a statistical history\, 1878-1961",,,,
6321874,6321874,"Iooss\, Walter",,,Books,810942585,English,,207 p.,,"New York : Harry N. Abrams\, Inc.\, 2003.",LSF - Request for delivery to any Yale Library >>  TR821 .I64 2003 (LC)+ Oversize|DELIM|6983618,,,Classic baseball,,"Iooss\, Walter,Photography of sports,Baseball",,,"the photographs of Walter Iooss\, Jr",,,,
4558181,4558181,"McGimpsey\, David\, 1962-",,,Books,253336961,English,,"x\, 194 p.",,"Bloomington : Indiana University Press\, c2000.","SML\, Stacks\, LC Classification >>  GV867.64 M34X 2000 (LC)|DELIM|4947254",,,Imagining baseball,,"Baseball,Popular culture,Social aspects",United States,,America's pastime and popular culture,,,,
9857844,9857844,"Dabscheck\, Braham",,,Books,"97,819,354,122,431,900,000,000",English,,"xxiii\, 212 p.",,"Morgantown\, WV : Fitness Information Technology\, c2011.","SML\, Stacks\, LC Classification >>  GV867.3 .D33 2011 (LC)|DELIM|10158073",,,Reading baseball,,"Baseball,History",United States,,"books\, biographies\, and the business of the game",,,,
4242170,4242170,"Regalado\, Samuel O. (Samuel Octavio)\, 1953-",,,Books,252023722,English,,"xvi\, 224 p.",,"Urbana : University of Illinois Press\, c1998.","SML\, Stacks\, LC Classification >>  GV865 A1 R38X 1998 (LC)|DELIM|4619008",,,Viva baseball!,,"Hispanic American baseball players,Baseball players",Latin America,,Latin major leaguers and their special hunger,,,,
12805815,12805815,,,,"Video,Online",,English,Access restricted by licensing agreement.,"1 online resource (1 video file\, approximately 253 min.)",,"[San Francisco\, California\, USA] : Kanopy Streaming\, 2014.",Yale Internet Resource >> Online Resource|DELIM|12907185,,,Reel baseball,,"Baseball films,Silent films,History",United States,,films from the silent era,,,Streaming video~|Z|~http://yale.kanopystreaming.com/node/118773,
11680424,11680424,"Ham\, Eldon L.\, 1952-",,,Books,"97,807,864,464,450,700,000,000",English,,"vii\, 272 p.",,"Jefferson\, N.C. : McFarland\, c2011.","SML\, Stacks\, LC Classification >>  GV742.3 .H36X 2011 (LC)|DELIM|11810664",,,Broadcasting baseball,,"Baseball announcers,Radio and baseball,Radio sports events,Television and baseball,Televised baseball games,History",,,a history of the national pastime on radio and television,,,,
3844060,3844060,"Mackey\, R. Scott\, 1955-",,,Books,786400552,English,,"x\, 227 p.",,"Jefferson\, N.C. : McFarland & Co.\, c1995.","SML\, Stacks\, LC Classification >>  GV875 P33 M33X 1995 (LC)|DELIM|4201992",,,Barbary baseball,,"Pacific Coast League,History,Minor league baseball,Baseball players","West (U.S.),United States",,the Pacific Coast League of the 1920s,,,,
5908615,5908615,"Clifton\, Merritt",,,Books,,English,,36 p.,,"Richford\, Vt. : Samisdat\, c1982.","LSF - Request for delivery to any Yale Library >>  AP2 S145 (LC)\, B3|DELIM|6610019",,,Disorganized baseball,,,,,"the Provincial League\, from LaRoque to Les Expos",,,,
11830609,11830609,"Cengel\, Katya",,,"Books,Online",,English,Access restricted by licensing agreement.,"xviii\, 253 p.",,"Lincoln : University of Nebraska Press\, c2012.",Yale Internet Resource >> Online Resource|DELIM|12043320,,,Bluegrass baseball,,Minor league baseball,"Kentucky,Louisville",,a year in the minor league life,,,Online book~|Z|~http://site.ebrary.com/lib/yale/Doc?id=10583816,
4725634,4725634,"Franks\, Joel S.",,,Books,081083927X,English,,"x\, 346 p.",,"Lanham\, Md. : Scarecrow Press\, c2001.","SML\, Stacks\, LC Classification >>  GV863 C2 F73X 2001 (LC)|DELIM|5120056",,,Whose baseball?,,"Baseball,History,Social aspects,Ethnic relations",California,,"the national pastime and cultural diversity in California\, 1859-1941",,,,
6155251,6155251,,,,Books,786413891,English,,"xiii\, 312 p.",,"Jefferson\, NC : McFarland & Co.\, 2003.","SML\, Stacks\, LC Classification >>  PN1995.9.B28 R44 2003|DELIM|6837084",,,Reel baseball,,"Baseball films,History and criticism",,,"essays and interviews on the national pastime\, Hollywood and American culture",,,,
